product_rating,product_price,product_name
4.6,"₹13,999","Redmi Note 7 Pro (Space Black, 64 GB)"
4.6,"₹16,999","Redmi Note 7 Pro (Neptune Blue, 128 GB)"
4.6,"₹16,999","Redmi Note 7 Pro (Space Black, 128 GB)"
4.6,"₹13,999","Redmi Note 7 Pro (Neptune Blue, 64 GB)"
4.6,"₹15,999","Realme 3 Pro (Carbon Grey, 64 GB)"
4.6,"₹16,999","Redmi Note 7 Pro (Nebula Red, 128 GB)"
4.5,"₹8,999","Realme 3 (Dynamic Black, 32 GB)"
4.5,"₹10,999","Realme 3 (Radiant Blue, 64 GB)"
4.6,"₹15,999","Realme 3 Pro (Nitro Blue, 64 GB)"
4.6,"₹16,999","Realme 3 Pro (Lightning Purple, 128 GB)"
4.5,"₹13,999","Realme 3 Pro (Lightning Purple, 64 GB)"
4.6,"₹15,999","Realme 3 Pro (Lightning Purple, 64 GB)"
4.5,"₹13,999","Realme 3 Pro (Nitro Blue, 64 GB)"
4.6,"₹13,999","Redmi Note 7 Pro (Nebula Red, 64 GB)"
4.5,"₹8,999","Redmi Y2 (Blue, 32 GB)"
4.4,"₹7,499","Redmi 6 (Blue, 64 GB)"
4.4,"₹7,499","Redmi 6 (Gold, 64 GB)"
4.5,"₹10,999","Realme 3 (Dynamic Black, 64 GB)"
4.3,"₹4,499","Redmi Go (Blue, 8 GB)"
4.4,"₹8,499","Honor 9N (Sapphire Blue, 32 GB)"
4.5,"₹9,490","Samsung Galaxy J6 (Gold, 64 GB)"
4.2,"₹4,999","Asus ZenFone Lite L1 (Gold, 16 GB)"
4.3,"₹7,999","Asus Zenfone Max Pro M1 (Grey, 32 GB)"
4.3,"₹8,499","Asus ZenFone Max M2 (Black, 32 GB)"
4.4,"₹13,990","Vivo Y95 (Starry Black, 64 GB)"
4,"₹3,999","Panasonic P110 (Black, 16 GB)"
4,₹836,Micromax X1i Power
4.4,"₹11,285","Redmi Y3 (Prime Black, 32 GB)"
4.4,"₹11,990","Vivo Y93 (Nebula Purple, 64 GB)"
4.3,"₹8,990","Vivo Y91 (Starry Black, 32 GB)"
4.3,"₹8,990","Vivo Y91 (Ocean Blue, 32 GB)"
4.4,"₹17,999","Honor 10 Lite (Sky Blue, 64 GB)"
4.4,"₹17,999","Honor 10 Lite (Sapphire Blue, 64 GB)"
4.4,"₹9,999","Honor 10 Lite (Midnight Black, 32 GB)"
4.4,"₹11,999","Honor 10 Lite (Sapphire Blue, 64 GB)"
4.4,"₹11,999","Honor 10 Lite (Midnight Black, 64 GB)"
4.4,"₹14,999","Honor 8X (Blue, 64 GB)"
4.4,"₹14,999","Honor 8X (Black, 64 GB)"
4.3,"₹1,625",Samsung Guru Music 2
4.4,"₹7,499","Redmi 6 (Blue, 32 GB)"
4.5,"₹39,999","Google Pixel 3a (Just Black, 64 GB)"
4.5,"₹39,999","Google Pixel 3a (Clearly White, 64 GB)"
4.3,"₹1,100",Samsung Guru 1200
4.2,"₹1,399",Lava GEM
4.4,"₹11,490","Samsung Galaxy A20 (Red, 32 GB)"
4.5,"₹8,999","Realme 3 (Radiant Blue, 32 GB)"
4.5,"₹9,999","Realme 3 (Dynamic Black, 64 GB)"
4.5,"₹13,999","Realme 3 Pro (Carbon Grey, 64 GB)"
4.3,"₹16,468","Samsung Galaxy M30 (Gradation Blue, 64 GB)"
4.3,"₹1,625",Samsung Guru Music 2
4.4,"₹15,490","Samsung Galaxy A30 (Blue, 64 GB)"
4.2,"₹13,338","Samsung Galaxy M20 (Charcoal Black, 64 GB)"
4,"₹3,999","Panasonic P110 (Red, 16 GB)"
4.5,"₹8,999","Redmi Y2 (Rose Gold, 32 GB)"
4.2,"₹8,999","Panasonic Eluga Z1 Pro (Gold, 64 GB)"
4.4,"₹13,985","Redmi Y3 (Prime Black, 64 GB)"
4.5,"₹9,999","Redmi Note 7 (Sapphire Blue, 32 GB)"
4.3,"₹13,999","Asus ZenFone Max Pro M2 (Blue, 64 GB)"
4.4,"₹7,499","Redmi 6 (Rose Gold, 32 GB)"
4.6,"₹64,900","Apple iPhone XR (Black, 128 GB)"
4.2,"₹1,375",Samsung Guru FM Plus SM-B110E/D
4.3,"₹16,478","Samsung Galaxy M30 (Gradation Black, 64 GB)"
3.7,"₹1,295",Karbonn K888 Metal
4.3,"₹12,990","OPPO A7 (Glaze Blue, 64 GB)"
4.3,"₹1,100",Samsung Guru 1200
4,"₹3,999","Panasonic P110 (Blue, 16 GB)"
4.5,"₹23,990","OPPO F11 Pro (Aurora Green, 128 GB)"
4.5,"₹22,990","OPPO F11 Pro (Thunder Black, 64 GB)"
4.5,"₹23,990","OPPO F11 Pro (Thunder Black, 128 GB)"
4.5,"₹22,990","OPPO F11 Pro (Aurora Green, 64 GB)"
4.3,"₹1,625",Samsung Guru Music 2
4.4,"₹10,999","Redmi Note 4 (Black, 64 GB)"
4,₹749,Micromax X1i Pop
4.1,"₹4,999","Infinix Smart 2 (City Blue, 16 GB)"
4.5,"₹39,999","Google Pixel 3a (Clearly White, 64 GB)"
4.5,"₹39,999","Google Pixel 3a (Just Black, 64 GB)"
4.2,"₹1,375",Samsung Guru FM Plus
4.6,"₹28,999","POCO F1 by Xiaomi (Armoured Edition, 256 GB)"
4.3,"₹9,990","OPPO A5s (Black, 32 GB)"
4.3,"₹9,990","Samsung Galaxy On Max (Black, 32 GB)"
4.3,"₹10,490","Samsung Galaxy On6 (Blue, 64 GB)"
4.5,"₹29,799","Apple iPhone 6s (Rose Gold, 32 GB)"
4.5,"₹17,990","OPPO F9 Pro (Starry Purple, 64 GB)"
4.5,"₹17,990","OPPO F9 Pro (Twilight Blue, 64 GB)"
4.4,"₹13,990","OPPO A7 (Glaring Gold, 64 GB)"
4.2,"₹2,025",Samsung Metro 313 Dual Sim
4.3,"₹10,690","Redmi 6 Pro (Black, 64 GB)"
3.8,₹934,Karbonn K24+
4.1,"₹3,499","Micromax Spark Go (Silver, 8 GB)"
4.1,"₹3,499","Micromax Spark Go (Rose Gold, 8 GB)"
4.1,"₹9,499","Panasonic Eluga X1 (Silver, 64 GB)"
4.4,"₹33,504","Apple iPhone 6s Plus (Rose Gold, 32 GB)"
4.1,"₹4,999","Infinix Smart 2 (Sandstone Black, 16 GB)"
4.4,"₹12,990","Vivo Y93 (Nebula Purple, 32 GB)"
4.4,"₹12,990","Vivo Y93 (Starry Black, 32 GB)"
4.5,"₹16,990","OPPO F9 (Mist Black, 64 GB)"
4.1,"₹6,990","Samsung On7 Pro (Gold, 16 GB)"
4.4,"₹10,999","Redmi Note 4 (Dark Grey, 64 GB)"
4.4,"₹12,990","OPPO A5 (Diamond Red, 64 GB)"
4.3,"₹6,226","Redmi 6A (Gold, 16 GB)"
4.3,"₹10,490","Samsung Galaxy On6 (Black, 64 GB)"
4.3,"₹5,290","Samsung Galaxy A2 Core (Blue, 16 GB)"
4.6,"₹27,999","POCO F1 by Xiaomi (Graphite Black, 256 GB)"
4.4,"₹15,490","Samsung Galaxy A30 (Red, 64 GB)"
4.6,"₹59,900","Apple iPhone XR (White, 64 GB)"
4,"₹7,999","Lenovo A5 (Gold, 32 GB)"
3.6,₹999,I Kall K16 New Combo of Two Mobiles
4.5,"₹44,999","Google Pixel 3a XL (Clearly White, 64 GB)"
4.5,"₹11,999","Redmi Note 6 Pro (Rose Gold, 64 GB)"
3.5,₹599,I Kall K24 New
4.2,"₹6,999","Infinix Smart 3 Plus (Midnight Black, 32 GB)"
4.2,"₹1,299",Lava A7
4.3,"₹7,150","Redmi 5 (Rose Gold, 16 GB)"
4.1,"₹5,199","XOLO Era 4x (Black, 16 GB)"
4.1,"₹5,199","XOLO Era 4x (Gold, 16 GB)"
4.1,₹819,Kechaoda K115
4.4,"₹11,990","OPPO A5 (Diamond Blue, 32 GB)"
4.6,"₹33,990","Blackberry Key2 (Black, 64 GB)"
3.7,"₹1,084",I Kall K3310 Combo Of Two Mobile
4.2,"₹1,055",Nokia 105
4.1,₹819,Kechaoda K115
4,"₹7,999","Lenovo A5 (Black, 32 GB)"
4.4,"₹11,990","OPPO A5 (Diamond Blue, 32 GB)"
4.6,"₹33,990","Blackberry Key2 (Black, 64 GB)"
4.2,"₹1,375",Samsung Guru FM Plus SM-B110E/D
4.2,"₹1,299",Lava A7
4.1,"₹2,800",Samsung B351E/Metro 350
4.5,"₹29,799","Apple iPhone 6s (Gold, 32 GB)"
3.9,"₹1,140",Kechaoda K112
4.2,"₹1,639",Nokia 130
4.5,"₹14,990","Realme 2 Pro (Black Sea, 128 GB)"
4.3,"₹7,990","Vivo Y81i (Gold, 16 GB)"
4.5,"₹33,504","Apple iPhone 6s Plus (Space Grey, 32 GB)"
4.3,"₹9,249","Redmi 6 Pro (Rose Gold, 32 GB)"
3.5,₹949,Karbonn K24 Plus Pro
3.6,₹539,Hicell C9 Metro
4.5,"₹14,990","Vivo V9 Pro (Nebula Purple, 64 GB)"
4.7,"₹65,999","Google Pixel 3 XL (Clearly White, 128 GB)"
4.7,"₹54,999","Google Pixel 3 XL (Not Pink, 64 GB)"
3.4,₹579,I Kall K6610
3.9,₹784,Karbonn KX2
4.3,"₹10,999","Honor 9i (Aurora Blue, 64 GB)"
4.3,"₹10,999","Honor 9i (Graphite Black, 64 GB)"
3.8,₹569,I Kall K19 New
4,₹924,Kechaoda K-55 Plus
4.3,"₹5,290","Samsung Galaxy A2 Core (Dark Gray, 16 GB)"
4.7,"₹54,999","Google Pixel 3 XL (Just Black, 64 GB)"
4.4,"₹12,745","Realme U1 (Ambitious Black, 64 GB)"
4.4,"₹12,965","Realme U1 (Fiery Gold, 64 GB)"
4.5,"₹44,999","Google Pixel 3a XL (Just Black, 64 GB)"
3.6,"₹10,999","Alcatel 3V (Spectrum Gold, 32 GB)"
3.6,"₹10,999","Alcatel 3V (Spectrum Blue, 32 GB)"
3.6,₹539,Hicell C9 Metro
4.4,"₹9,949","Realme U1 (Ambitious Black, 32 GB)"
4.3,"₹6,192","Redmi 6A (Rose Gold, 16 GB)"
4.4,"₹11,138","Realme U1 (Ambitious Black, 64 GB)"
4.4,"₹11,499","Realme U1 (Fiery Gold, 64 GB)"
4.4,"₹11,175","Realme U1 (Brave Blue, 64 GB)"
4.1,"₹4,299","XOLO Era 4x (Gold, 16 GB)"
3.5,₹599,Forme N1
4.3,"₹12,990","Samsung Galaxy J6 Plus (Black, 64 GB)"
4.4,"₹14,990","Samsung Galaxy J8 (Blue, 64 GB)"
4.3,"₹16,999","Moto G7 (Black, 64 GB)"
4.2,"₹5,490","Samsung Galaxy J2 Core (Gold, 8 GB)"
4.7,"₹54,999","Google Pixel 3 XL (Clearly White, 64 GB)"
4,"₹3,879","Mobiistar C1 Lite (Black, 8 GB)"
3.9,"₹1,099",Fox Sultan
3.9,₹899,Fox Sultan
3.6,₹955,I Kall K2180 Pack of Two Mobile
4.1,"₹4,999","Lava Z61 (Black, 16 GB)"
4,"₹4,799","Mobiistar C1 (Blue, 16 GB)"
4.2,"₹9,099","Nokia 3.1 Plus (Blue, 32 GB)"
3.7,"₹1,295",Karbonn K-Stylo
4.3,"₹7,575","Moto E5 (Grey/Flash Gray, 16 GB)"
3.5,₹999,I Kall K3312 Combo
3.6,"₹10,999","Alcatel 3V (Spectrum Black, 32 GB)"
4,₹948,Kechaoda K-55 Plus
4,"₹1,499",Philips Xenium E168
4.6,"₹59,900","Apple iPhone XR (Coral, 64 GB)"
3.7,₹494,I Kall K25 New
4.5,"₹28,990","Apple iPhone SE (Rose Gold, 128 GB)"
4.5,"₹28,490","Apple iPhone SE (Silver, 128 GB)"
4.3,"₹10,499","Asus ZenFone Max M2 (Black, 64 GB)"
4.3,"₹8,499","Asus ZenFone Max M2 (Silver, 32 GB)"
4,"₹7,299","Tecno Camon i ACE 2x (Midnight Black, 32 GB)"
3.8,"₹1,169",Micromax X772
4.4,"₹24,999","Honor 10 (Phantom Blue, 128 GB)"
3.9,"₹1,470",Lava Prime Z
4.5,"₹8,490","OPPO A1K (Black, 32 GB)"
4.5,"₹8,490","OPPO A1K (Red, 32 GB)"
4.4,"₹13,990","Vivo V9 Youth (Black, 32 GB)"
4.3,"₹10,990","Samsung Galaxy On Nxt (Gold, 64 GB)"
4,"₹1,289",Muphone M230
3.3,₹603,I Kall K3312
3.9,"₹1,165",Micromax X772
3.8,"₹3,999","Lava Z50 (Gold, 8 GB)"
4.4,"₹18,990","Vivo V9 (Pearl Black (Golden Line), 64 GB)"
,"₹1,299",Muphone M6
4.5,"₹14,990","Realme 2 Pro (Blue Ocean, 128 GB)"
3.7,"₹3,399",Nokia 3310 DS
3.8,₹737,Forme F530
3.9,"₹10,999","Tecno Camon I Click 2 (Black, 64 GB)"
3.9,₹839,Zen X35
4.2,"₹8,999","Nokia 3.1 Plus (White, 32 GB)"
4,"₹1,149",Karbonn K9
4,"₹1,499",Philips Xenium E168
4.1,"₹8,999","Tecno Camon i4 (Midnight Black, 32 GB)"
3.8,₹999,Winstar C1
4,"₹6,999","Infinix Smart 2 (Bordeaux Red, 32 GB)"
3.8,₹499,I Kall K18 New
